TrackName	Organism	Genome	Info	URL
/home/tcremers/www/UCSC/webdir	hg19	hg19	SampleKirsten-B1-1	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg19&hgt.customText=http://medgenpr.ugent.be/UCSC//home/tcremers/www/UCSC/webdir/Kirsten-B1-1_R1_roi0.sorted.remdup.rg.track
/home/tcremers/www/UCSC/webdir	hg19	hg19	SampleKirsten-B1-10	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg19&hgt.customText=http://medgenpr.ugent.be/UCSC//home/tcremers/www/UCSC/webdir/Kirsten-B1-10_R1_roi0.sorted.remdup.rg.track
/home/tcremers/www/UCSC/webdir	hg19	hg19	SampleKirsten-B1-11	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg19&hgt.customText=http://medgenpr.ugent.be/UCSC//home/tcremers/www/UCSC/webdir/Kirsten-B1-11_R1_roi0.sorted.remdup.rg.track
/home/tcremers/www/UCSC/webdir	hg19	hg19	SampleKirsten-B1-12	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg19&hgt.customText=http://medgenpr.ugent.be/UCSC//home/tcremers/www/UCSC/webdir/Kirsten-B1-12_R1_roi0.sorted.remdup.rg.track
/home/tcremers/www/UCSC/webdir	hg19	hg19	SampleKirsten-B1-13	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg19&hgt.customText=http://medgenpr.ugent.be/UCSC//home/tcremers/www/UCSC/webdir/Kirsten-B1-13_R1_roi0.sorted.remdup.rg.track
/home/tcremers/www/UCSC/webdir	hg19	hg19	SampleKirsten-B1-14	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg19&hgt.customText=http://medgenpr.ugent.be/UCSC//home/tcremers/www/UCSC/webdir/Kirsten-B1-14_R1_roi0.sorted.remdup.rg.track
/home/tcremers/www/UCSC/webdir	hg19	hg19	SampleKirsten-B1-15	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg19&hgt.customText=http://medgenpr.ugent.be/UCSC//home/tcremers/www/UCSC/webdir/Kirsten-B1-15_R1_roi0.sorted.remdup.rg.track
/home/tcremers/www/UCSC/webdir	hg19	hg19	SampleKirsten-B1-16	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg19&hgt.customText=http://medgenpr.ugent.be/UCSC//home/tcremers/www/UCSC/webdir/Kirsten-B1-16_R1_roi0.sorted.remdup.rg.track
/home/tcremers/www/UCSC/webdir	hg19	hg19	SampleKirsten-B1-17	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg19&hgt.customText=http://medgenpr.ugent.be/UCSC//home/tcremers/www/UCSC/webdir/Kirsten-B1-17_R1_roi0.sorted.remdup.rg.track
/home/tcremers/www/UCSC/webdir	hg19	hg19	SampleKirsten-B1-2	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg19&hgt.customText=http://medgenpr.ugent.be/UCSC//home/tcremers/www/UCSC/webdir/Kirsten-B1-2_R1_roi0.sorted.remdup.rg.track
